"Tag","Oil_Tag","Total_Tag","Region_Tag","fl_name","variable","value","date_field"
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"2014",3.22,2014-01-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"2014",0.35,2014-01-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"2014",10.61,2014-01-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"2014",1.74,2014-01-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"2014",5.28,2014-01-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"2014",0.58,2014-01-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"2014",2.4,2014-01-01
"Total","","Total","Americas",2016-12-13,"2014",24.2,2014-01-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"2014",1.1,2014-01-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"2014",1.13,2014-01-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"2014",1.92,2014-01-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"2014",1.27,2014-01-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"2014",5.94,2014-01-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"2014",0.95,2014-01-01
"Other products","Other Products","Non Total","Europe",2016-12-13,"2014",1.21,2014-01-01
"Total","","Total ","Europe",2016-12-13,"2014",13.51,2014-01-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"2014",0.82,2014-01-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"2014",1.88,2014-01-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"2014",1.55,2014-01-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"2014",0.87,2014-01-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"2014",1.76,2014-01-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"2014",0.68,2014-01-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"2014",0.56,2014-01-01
"Total","","Total","Asia Oceania",2016-12-13,"2014",8.1,2014-01-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"2014",5.13,2014-01-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"2014",3.36,2014-01-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"2014",14.08,2014-01-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"2014",3.88,2014-01-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"2014",12.98,2014-01-01
